listing_id,creation_date,location_of_seller,brand,model_name,model_year,engine_displacement,license_rank,kilometrage,amount_of_owners,color,listed_price,active,last_seen,brand_model_name,model_count,model_rank
41058865,2025-01-10,eilat and arava,Yamaha,MT 09,2016,900,A,70000,7,Grey mouse,18500.0,1,2025-04-04,Yamaha MT 09,90,1
41833177,2025-03-06,tel aviv,Yamaha,MT 09,2021,900,A,32500,3,black,53000.0,1,2025-04-04,Yamaha MT 09,90,1
43521793,2025-04-03,akko and naharyya area,Yamaha,MT 09,2024,900,A1,0,1,gray,0.0,1,2025-04-04,Yamaha MT 09,90,1
43549952,2025-03-18,haifa,Yamaha,MT 09,2021,880,A,47000,2,black,46000.0,1,2025-04-04,Yamaha MT 09,90,1
43925847,2024-12-05,nes tziona rehovot,Yamaha,MT 09,2021,900,A,26800,4,gray,0.0,1,2025-04-02,Yamaha MT 09,90,1
44940757,2025-02-19,nes tziona rehovot,Yamaha,MT 09,2016,900,A,67000,3,blue,23000.0,1,2025-04-04,Yamaha MT 09,90,1
45462912,2025-01-26,ramat gan givataim,Yamaha,MT 09,2023,900,A,17400,2,black,53000.0,1,2025-04-04,Yamaha MT 09,90,1
45984609,2025-01-19,netanya,Yamaha,MT 09,2022,900,A,30000,3,black,45500.0,1,2025-04-04,Yamaha MT 09,90,1
46937339,2025-03-04,holon bat yam,Yamaha,MT 09,2023,900,A1,11500,2,black,62500.0,1,2025-04-04,Yamaha MT 09,90,1
47017317,2025-02-11,jerusalem area and surroundings,Yamaha,MT 09,2018,900,A,48000,5,gray,41000.0,1,2025-04-04,Yamaha MT 09,90,1
47531283,2025-03-19,nes tziona rehovot,Yamaha,MT 09,2024,900,A,9800,1,Dark Blue,60500.0,1,2025-04-04,Yamaha MT 09,90,1
47642115,2025-03-11,harei yehuda,Yamaha,MT 09,2019,900,A,50000,6,black,38000.0,1,2025-04-04,Yamaha MT 09,90,1
47724375,2025-03-12,bnei brak givat shmuel,Yamaha,MT 09,2023,900,A,13000,1,Metallic gray,65000.0,1,2025-04-04,Yamaha MT 09,90,1
47928756,2025-03-11,upper galilee,Yamaha,MT 09,2018,900,A,60000,6,black,0.0,1,2025-04-04,Yamaha MT 09,90,1
49084535,2025-01-31,raanana kfar saba,Yamaha,MT 09,2021,900,A,11000,2,Metallic gray,55000.0,1,2025-04-04,Yamaha MT 09,90,1
49500160,2025-04-04,tel aviv,Yamaha,MT 09,2025,900,A1,996,1,black,72983.0,1,2025-04-04,Yamaha MT 09,90,1
49531743,2025-04-04,carmiel area,Yamaha,MT 09,2017,900,A,63000,5,Dark Blue Metallic,34000.0,1,2025-04-04,Yamaha MT 09,90,1
49572585,2024-11-27,petah tikva area,Yamaha,MT 09,2021,900,A,32400,4,black,41999.0,1,2025-04-04,Yamaha MT 09,90,1
49710257,2025-02-09,akko and naharyya area,Yamaha,MT 09,2016,900,A,55200,5,black,39000.0,1,2025-04-04,Yamaha MT 09,90,1
52852908,2025-03-06,nes tziona rehovot,Yamaha,MT 09,2022,880,A,33000,1,blue,42000.0,1,2025-04-02,Yamaha MT 09,90,1
55100883,2025-02-23,tel aviv,Yamaha,MT 09,2024,900,A1,3500,1,gray,65000.0,1,2025-04-04,Yamaha MT 09,90,1
55157655,2025-03-02,jerusalem area and surroundings,Yamaha,MT 09,2022,900,A,8000,2,black,56000.0,1,2025-04-04,Yamaha MT 09,90,1
55425640,2025-01-25,nes tziona rehovot,Yamaha,MT 09,2023,900,A,17500,4,gray,52000.0,1,2025-04-04,Yamaha MT 09,90,1
56524040,2025-03-15,holon bat yam,Yamaha,MT 09,2023,900,A,10000,2,red,55000.0,1,2025-04-04,Yamaha MT 09,90,1
56574221,2025-03-22,nesher and krayot,Yamaha,MT 09,2023,900,A,7000,2,black,58000.0,1,2025-04-04,Yamaha MT 09,90,1
57551856,2025-03-13,tel aviv,Yamaha,MT 09,2024,900,A1,9900,1,Silver,78500.0,1,2025-04-04,Yamaha MT 09,90,1
58408199,2025-01-21,holon bat yam,Yamaha,MT 09,2023,900,A,24000,4,black,58000.0,1,2025-04-04,Yamaha MT 09,90,1
58865581,2025-03-19,tel aviv,Yamaha,MT 09,2022,900,A,12000,3,green,50000.0,1,2025-04-02,Yamaha MT 09,90,1
58993381,2025-02-19,nes tziona rehovot,Yamaha,MT 09,2019,900,A,33800,7,black,42000.0,1,2025-04-04,Yamaha MT 09,90,1
59598964,2025-03-24,afula and valleys,Yamaha,MT 09,2019,900,A,29000,6,blue,0.0,1,2025-04-04,Yamaha MT 09,90,1
61415185,2025-02-26,ashdod askelon,Yamaha,MT 09,2023,900,A,30000,1,gray,58000.0,1,2025-04-04,Yamaha MT 09,90,1
61463974,2025-01-15,eilat and arava,Yamaha,MT 09,2019,900,A,60000,4,black,38000.0,1,2025-04-04,Yamaha MT 09,90,1
64120184,2024-10-28,tel aviv,Yamaha,MT 09,2024,900,A,2605,1,black,69900.0,1,2025-04-04,Yamaha MT 09,90,1
65065104,2024-12-23,upper galilee,Yamaha,MT 09,2022,900,A,46000,2,black,50000.0,1,2025-04-04,Yamaha MT 09,90,1
67506036,2025-02-06,bikat ono,Yamaha,MT 09,2019,900,A,40000,4,black,0.0,1,2025-04-04,Yamaha MT 09,90,1
67595695,2025-02-25,ashdod askelon,Yamaha,MT 09,2023,900,A,33000,1,Red Metallic,62000.0,1,2025-04-04,Yamaha MT 09,90,1
68094256,2025-03-07,sharon north,Yamaha,MT 09,2023,900,A,30000,3,black,52000.0,1,2025-04-04,Yamaha MT 09,90,1
68645458,2025-03-03,beer sheva area,Yamaha,MT 09,2024,900,A,0,1,Metallic gray,63500.0,1,2025-04-04,Yamaha MT 09,90,1
71326466,2024-10-30,netanya,Yamaha,MT 09,2015,900,A,47000,6,gray,25000.0,1,2025-04-04,Yamaha MT 09,90,1
71451244,2024-12-03,raanana kfar saba,Yamaha,MT 09,2021,900,A,23700,3,blue,48500.0,1,2025-04-04,Yamaha MT 09,90,1
71996714,2025-04-01,beer sheva area,Yamaha,MT 09,2015,900,A,68000,5,Metallic Silver,23900.0,1,2025-04-04,Yamaha MT 09,90,1
72072314,2025-03-25,carmiel area,Yamaha,MT 09,2023,900,A,20000,2,blue,54000.0,1,2025-04-04,Yamaha MT 09,90,1
72150392,2025-01-04,tel aviv,Yamaha,MT 09,2024,900,A,3600,1,black,63000.0,1,2025-04-04,Yamaha MT 09,90,1
73267489,2025-03-14,nesher and krayot,Yamaha,MT 09,2016,900,A,31000,9,gray,22000.0,1,2025-04-04,Yamaha MT 09,90,1
73747021,2025-04-01,haifa,Yamaha,MT 09,2018,900,A,46000,4,black,37500.0,1,2025-04-04,Yamaha MT 09,90,1
73799866,2025-04-03,tel aviv,Yamaha,MT 09,2018,880,A,27500,8,Black Metallic,0.0,1,2025-04-04,Yamaha MT 09,90,1
74796943,2025-01-05,ashdod askelon,Yamaha,MT 09,2022,900,A,11000,3,black,51000.0,1,2025-04-04,Yamaha MT 09,90,1
75608339,2025-03-01,akko and naharyya area,Yamaha,MT 09,2018,900,A,30000,6,black,41000.0,1,2025-04-04,Yamaha MT 09,90,1
76598585,2024-10-19,ashdod askelon,Yamaha,MT 09,2023,900,A,21000,2,blue,49999.0,1,2025-04-04,Yamaha MT 09,90,1
76636968,2025-01-13,shfela,Yamaha,MT 09,2021,900,A,29000,3,black,0.0,1,2025-04-04,Yamaha MT 09,90,1
77697239,2025-04-03,ashdod askelon,Yamaha,MT 09,2014,900,A,45000,7,gray,0.0,1,2025-04-04,Yamaha MT 09,90,1
77742431,2025-01-26,raanana kfar saba,Yamaha,MT 09,2022,900,A,10000,1,black,58000.0,1,2025-04-04,Yamaha MT 09,90,1
78237033,2025-01-19,ashdod askelon,Yamaha,MT 09,2020,900,A,27000,3,Metallic gray,45000.0,1,2025-04-04,Yamaha MT 09,90,1
78252452,2025-04-03,ramat hasharon herzeliya,Yamaha,MT 09,2020,900,A,43500,2,white,43000.0,1,2025-04-04,Yamaha MT 09,90,1
78400178,2025-04-01,afula and valleys,Yamaha,MT 09,2017,900,A,34700,4,black,0.0,1,2025-04-04,Yamaha MT 09,90,1
78437866,2025-03-19,upper galilee,Yamaha,MT 09,2023,900,A1,24500,2,black,0.0,1,2025-04-04,Yamaha MT 09,90,1
79101266,2025-03-27,netanya,Yamaha,MT 09,2016,900,A,59000,9,black,28000.0,1,2025-04-04,Yamaha MT 09,90,1
79787733,2025-01-08,ramat menashe,Yamaha,MT 09,2023,900,A,9000,1,Metallic Silver,70000.0,1,2025-04-04,Yamaha MT 09,90,1
79932552,2025-03-14,nazareth shfaram area,Yamaha,MT 09,2018,900,A,40000,8,black,38000.0,1,2025-04-04,Yamaha MT 09,90,1
